Country Name,Country Code,Series Name,GDP (current US$),"GDP per capita, PPP (current international $)",GDP per capita (current US$),GDP growth (annual %),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Exports of goods and services (% of GDP),"Central government debt, total (% of GDP)",Total reserves (% of total external debt),Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Population, total",Population growth (annual %),Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Tax revenue (% of GDP),Market capitalization of listed domestic companies (% of GDP),Market capitalization of listed domestic companies (current US$),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)"
Brazil,BRA,1998 [YR1998],8.63711E+11,8503.697887,5049.76612,0.338097901,9.408084592,3.195076293,4.924361585,7.030500339,0,18.38325825,16.43858493,10.15,171039804,1.468339709,0,69.189,0,0,0,0,0,0.00,0.593831788,3.340887134,0.330436104
Brazil,BRA,1999 [YR1999],5.99642E+11,8541.710725,3456.423595,0.467937566,11.41726822,4.858447499,8.010500883,9.564898261,0,14.82664435,20.98216648,11.13,173486281,1.420222287,0,69.524,0,0,0,0,0,0.00,0.404652382,4.733769826,0.249758658
Brazil,BRA,2000 [YR2000],6.55448E+11,8994.743062,3726.81142,4.387949447,12.45171335,7.044141059,5.606065141,10.188048,0,13.61389956,22.63976136,0,175873720,1.36677133,0,69.737,86.50005341,86.22798157,86.36788177,0,34.503461,226152000000.00,0.414332171,5.033917141,0.380970769
Brazil,BRA,2001 [YR2001],5.59984E+11,9202.876484,3142.235528,1.389896401,14.56457435,6.840359025,8.225094321,12.37171067,0,15.59683841,26.93628502,10.65,178211881,1.320694758,0,70.195,0,0,0,0,33.25768387,186238000000.00,0.341440585,4.147593261,-0.265917202
Brazil,BRA,2002 [YR2002],5.09795E+11,9510.823883,2824.715396,3.053461859,13.38776713,8.450164377,9.798112238,14.23059027,0,16.31088417,27.6183574,10.64,180476685,1.262841536,0,70.41,0,0,0,0,24.86518359,126762000000.00,0.297000074,3.253580632,0.486176342
Brazil,BRA,2003 [YR2003],5.58234E+11,9693.555482,3056.64968,1.140828998,12.95960101,14.71491972,14.09102152,15.18078371,0,20.89682854,28.14038472,11.17,182629278,1.185669439,0,70.72,0,0,0,0,42.01824968,234560000000.00,0.315328022,1.813400594,0.040984446
Brazil,BRA,2004 [YR2004],6.69289E+11,10407.83935,3623.223905,5.759964637,13.13249097,6.5971851,7.752060763,16.54576151,0,23.98568285,29.67825248,10.07,184722043,1.139393012,0,71.131,88.80612946,88.40946198,88.61624146,0,49.3578142,330347000000.00,0.348124503,2.71353208,1.46759909
Brazil,BRA,2005 [YR2005],8.91634E+11,10954.86026,4773.26848,3.202132061,11.84296595,6.869537209,7.431224753,15.24382927,0,28.5612586,27.08679521,10.55,186797334,1.117202878,0,71.753,0,0,0,0,53.23338638,474647000000.00,0.435721531,1.733893572,0.326410998
Brazil,BRA,2006 [YR2006],1.10763E+12,11614.49854,5866.024313,3.961988711,11.66738359,4.183568129,6.774274119,14.3743163,0,44.17989077,26.04169989,9.69,188820682,1.077353846,0,72.037,89.85559082,89.35324097,89.61522675,0,64.12335877,710247000000.00,0.505060489,1.753125435,2.600006694
Brazil,BRA,2007 [YR2007],1.39711E+12,12522.51594,7323.19034,6.069870607,11.96493627,3.641272991,6.439038087,13.3276751,0,75.62919605,25.29261137,9.28,190779453,1.032027233,0,72.365,90.22801208,89.7721405,90.0093689,0,98.03860154,1369710000000.00,0.584801838,3.190826559,1.221177955
Brazil,BRA,2008 [YR2008],1.69586E+12,13281.07439,8801.759475,5.094195447,13.72356891,5.678593903,8.778552724,13.53400051,0,73.69386983,27.25756942,8.27,192672317,0.987284203,0,72.715,90.21955109,89.83786774,90.03662109,0,34.90660541,591966000000.00,0.662729477,2.990608926,1.539949253
Brazil,BRA,2009 [YR2009],1.667E+12,13222.74888,8569.901805,-0.125812002,11.25460447,4.888034799,7.313482746,10.85137113,0,84.69323653,22.1059756,9.42,194517549,0.953147865,0,72.948,90.41121674,90.17484283,90.29821014,0,80.21899536,1337250000000.00,0.648118019,1.888482404,-0.273058441
Brazil,BRA,2010 [YR2010],2.20884E+12,14254.51977,11249.29374,7.528225818,11.90659334,5.038726901,8.423338337,10.86558477,61.31878046,81.89664251,22.77217811,0,196353492,0.939418022,0,73.182,90.68170166,90.05618286,90.37918091,14.24957596,69.97188495,1545570000000.00,0.789173815,3.73001227,1.211632962
Brazil,BRA,2011 [YR2011],2.61616E+12,14989.15778,13200.55817,3.974423079,12.3518925,6.636449622,8.318592219,11.58251268,59.3416583,87.12130079,23.93440518,7.58,198185302,0.92858963,0,73.343,91.63314819,91.16898346,91.41123962,14.85129878,46.97487248,1228940000000.00,0.880673775,3.915179541,0.614149665
Brazil,BRA,2012 [YR2012],2.46523E+12,14994.34347,12327.51556,1.921175986,13.23673455,5.40349914,7.943126941,11.87753907,59.84949,84.71370246,25.11427361,7.25,199977707,0.900343361,0,73.552,91.62490082,91.02567291,91.33785248,14.33241109,49.79039966,1227450000000.00,0.822144403,3.754962108,0.084505952
Brazil,BRA,2013 [YR2013],2.47282E+12,15535.72377,12258.56485,3.004822669,14.04372668,6.204310666,7.504564533,11.74223064,57.22840938,74.17626295,25.78595733,7.07,201721767,0.86834615,0,73.918,91.76496124,91.17796326,91.48423767,14.12530574,41.26687722,1020460000000.00,0.789056566,3.041509229,0.632618134
Brazil,BRA,2014 [YR2014],2.45604E+12,15664.80174,12071.40465,0.50395574,13.673463,6.329040155,7.846709744,11.01194282,58.45727111,65.28235059,24.68540582,6.76,203459650,0.857834829,0,74.306,92.06051636,91.36676788,91.72943115,13.49007452,34.35990073,843894000000.00,0.770606922,3.571352613,0.83902633
Brazil,BRA,2015 [YR2015],1.80221E+12,14692.63231,8783.214413,-3.545763393,14.05343452,9.029901024,7.566175012,12.90019142,67.53755403,65.59932178,26.95362594,8.54,205188205,0.845992601,0,74.332,92.34378815,91.72515869,92.04789734,13.62962937,27.21844656,490534000000.00,0.597797197,3.592149731,0.173896142
Brazil,BRA,2016 [YR2016],1.79569E+12,14208.16111,8680.735421,-3.275916908,12.06700304,8.739143523,8.103604359,12.46667904,73.41880381,67.18438705,24.53368208,11.58,206859578,0.811256478,0,74.442,93.02120209,92.57515717,92.80844116,13.71043098,42.24323455,758559000000.00,0.610968257,4.137378539,0.81826235
Brazil,BRA,2017 [YR2017],2.06351E+12,14477.86177,9896.717511,1.322869054,11.8007665,3.44637335,3.671384513,12.51896787,83.66920265,68.86837829,24.31973437,12.79,208504960,0.7922634,0,74.827,93.24371338,92.8915329,93.07582092,13.60522852,46.26645525,954715000000.00,0.683575908,3.338260284,1.034182751
Brazil,BRA,2018 [YR2018],1.91693E+12,14971.05467,9121.020092,1.783666762,14.24120388,3.664850284,4.493534331,14.6349995,86.60788412,67.18327075,28.87620337,12.33,210166592,0.793768154,0,75.109,93.42507172,93.00904083,93.22750092,13.94010799,47.82765236,916824000000.00,0.609243657,4.077487084,0.105615004
Brazil,BRA,2019 [YR2019],1.87329E+12,15307.94124,8845.323931,1.220777824,14.76733868,3.732976212,4.224258869,14.12291919,92.56525319,62.75585768,28.89025787,11.94,211782878,0.766107802,0,75.338,0,0,0,13.73769484,63.38382508,1187360000000.00,0.577825835,3.692673304,1.218157729
Brazil,BRA,2020 [YR2020],1.47611E+12,14900.10422,6923.700197,-3.276758796,15.84852654,3.211768038,6.472499608,16.453552,98.70988195,64.74387134,32.30207854,13.7,213196304,0.665176682,0,74.009,0,0,0,12.71938786,66.95816255,988374000000.00,0.464674615,2.559860419,-0.234891699
Brazil,BRA,2021 [YR2021],1.64962E+12,16260.09875,7696.785531,4.988849701,18.61975031,8.301659756,11.38406697,19.56167634,86.09497772,59.72288099,38.18142665,13.16,214326223,0.528590453,0,72.75,94.5,94.09999847,94.30000305,14.31684746,0,0.00,0.473354169,2.815132448,0.984426769
Brazil,BRA,2022 [YR2022],1.9201E+12,17821.73726,8917.673898,2.900530615,19.29445561,9.28010609,8.28319419,20.04553801,0,0,39.33999362,9.23,215313498,0.459583548,0,0,0,0,0,0,0,0.00,0.500381852,4.765497376,1.598570059
Canada,CAN,1998 [YR1998],6.33998E+11,26319.67416,21024.50993,3.896151829,38.0520106,0.995942457,-0.179362567,40.02917476,72.48279976,0,78.08118536,8.28,30155173,0.829909353,0,78.62365854,0,0,0,14.66839759,170.6516714,1081930000000.00,0.798813458,3.939952298,5.733252947
Canada,CAN,1999 [YR1999],6.7841E+11,27841.35335,22315.17429,5.162913624,38.25384431,1.734842951,1.902620339,41.861185,66.24583175,0,80.11502931,7.58,30401286,0.812842624,0,78.83902439,0,0,0,14.69992073,213.4812428,1448280000000.00,0.801511838,4.047116767,2.93768905
Canada,CAN,2000 [YR2000],7.44773E+11,29362.08416,24271.00206,5.177635668,38.55612203,2.719439957,4.335401201,44.20923582,58.73797424,0,82.76535785,6.83,30685730,0.931281553,0,79.16682927,0,0,0,14.85774318,103.5001416,770842000000.00,0.826610329,9.171024287,6.263691864
Canada,CAN,2001 [YR2001],7.38963E+11,30230.80297,23821.44559,1.78997288,36.3042633,2.52512014,1.658621134,42.03995509,57.45835645,0,78.34421839,7.22,31020902,1.086350966,0,79.39804878,0,0,0,14.18147981,83.26075265,615266000000.00,0.78798587,3.842020404,4.984265277
Canada,CAN,2002 [YR2002],7.60649E+11,30963.053,24255.33858,3.018050512,35.64837348,2.258394409,1.239049493,40.05865859,54.14911949,0,75.70703208,7.66,31360079,1.087447927,0,79.53073171,0,0,0,13.37762747,116.831457,888678000000.00,0.78336392,3.219147678,3.843512818
Canada,CAN,2003 [YR2003],8.95541E+11,32349.94366,28300.4631,1.801518136,32.97410942,2.758563214,3.254673243,36.8659852,51.27133706,0,69.84009462,7.57,31644028,0.901372739,0,79.71512195,0,0,0,13.22893471,101.6403458,910231000000.00,0.874822639,0.782967555,2.616225271
Canada,CAN,2004 [YR2004],1.02669E+12,33925.70673,32143.68141,3.086980809,32.86464868,1.857258719,3.266266004,37.32777131,46.80098583,0,70.19241999,7.19,31940655,0.933020777,0,79.99219512,0,0,0,13.34474787,114.6906726,1177520000000.00,0.947472713,0.141465896,4.365776022
Canada,CAN,2005 [YR2005],1.17311E+12,36327.22865,36382.50792,3.204200428,32.90242569,2.213552034,3.122887127,36.85670732,46.06165142,0,69.75913302,6.76,32243753,0.944466927,0,80.11268293,0,0,0,13.29949289,126.3467476,1482180000000.00,1.001521703,2.178163809,2.325412695
Canada,CAN,2006 [YR2006],1.31926E+12,38119.4132,40504.06073,2.634303814,32.64970526,2.002025395,2.573810387,35.40245922,43.29167819,0,68.05216448,6.48,32571174,1.010334503,0,80.54365854,0,0,0,13.34822067,128.9133218,1700710000000.00,1.062557299,4.87410129,3.816692472
Canada,CAN,2007 [YR2007],1.46882E+12,39575.30975,44659.89514,2.071825031,32.05386458,2.138383993,3.27836135,34.22955516,39.15856395,0,66.28341975,6.16,32889025,0.971135141,0,80.54365854,0,0,0,13.33443201,148.8643634,2186550000000.00,1.128478726,8.200559049,4.434938198
Canada,CAN,2008 [YR2008],1.55299E+12,40376.30688,46710.50558,1.004289199,32.62860281,2.370270674,3.987170431,34.39500555,45.32051127,0,67.02360836,6.28,33247118,1.082907116,0,80.72463415,0,0,0,12.3901656,66.55883269,1033650000000.00,1.1568791,4.515137142,5.710829205
Canada,CAN,2009 [YR2009],1.37463E+12,38865.41346,40876.31015,-2.925955647,29.95855751,0.299466803,-2.313985367,28.51583432,53.19244667,0,58.47439182,8.46,33628895,1.141758099,0,81.06609756,0,0,0,12.30438595,122.028302,1677430000000.00,1.051740005,1.524131181,2.745409301
Canada,CAN,2010 [YR2010],1.61734E+12,40099.44824,47562.08343,3.089919462,31.04073957,1.776871541,2.849522603,29.16738193,53.14973296,0,60.2081215,8.18,34004889,1.111864075,0,81.32219512,0,0,0,11.7328093,134.24452,2171190000000.00,1.186103189,1.837256387,2.246981822
Canada,CAN,2011 [YR2011],1.79333E+12,41666.70763,52223.69611,3.146100491,31.82034685,2.912135089,3.235540582,30.67839192,54.11938584,0,62.49873877,7.64,34339328,0.978697787,0,81.48268293,0,0,0,11.80392128,106.6661219,1912870000000.00,1.253367475,2.137833108,2.793396523
Canada,CAN,2012 [YR2012],1.82837E+12,42290.96541,52669.08996,1.760961588,32.24252342,1.515678231,1.213171702,30.35302552,55.72516494,0,62.59554894,7.39,34714222,1.085817263,0,81.66365854,0,0,0,11.66442736,112.667433,2059970000000.00,1.245398147,2.700169009,3.404593801
Canada,CAN,2013 [YR2013],1.8466E+12,44298.57873,52635.17496,2.329122506,31.89913623,0.938291898,1.737448,30.33193867,53.20086908,0,62.2310749,7.14,35082954,1.056591259,0,81.74487805,0,0,0,11.6235046,114.4711752,2113820000000.00,1.188191054,3.629803984,2.949458833
Canada,CAN,2014 [YR2014],1.80575E+12,45753.75055,50955.99832,2.870036075,32.64208628,1.906635907,1.944598697,31.73657587,51.48270813,0,64.37866216,7.02,35437435,1.005337579,0,81.78439024,0,0,0,11.80837908,116.0415795,2095420000000.00,1.113701013,3.55390337,3.598493803
Canada,CAN,2015 [YR2015],1.55651E+12,44670.08054,43596.13554,0.659176864,34.3149411,1.125241361,-0.876717545,31.84996096,55.99158378,0,66.16490207,6.95,35702908,0.746339478,0,81.81560976,0,0,0,12.38981091,102.3700787,1593400000000.00,0.975958293,3.853894537,5.391157447
Canada,CAN,2016 [YR2016],1.52799E+12,46472.34025,42315.60371,1.001394414,33.86111211,1.428759547,0.75403003,31.50257241,56.0236244,0,65.36368452,7.04,36109487,1.132348655,0,81.92487805,0,0,0,12.49656263,130.4665966,1993520000000.00,0.910554611,2.238350121,4.42448955
Canada,CAN,2017 [YR2017],1.64927E+12,48317.17458,45129.4293,3.039880225,33.6466507,1.596884129,2.56499684,31.45441015,54.46256518,0,65.10106085,6.43,36545236,1.199520711,0,81.83292683,0,0,0,12.61201668,143.5220535,2367060000000.00,0.934024592,1.53752072,4.740763695
Canada,CAN,2018 [YR2018],1.7253E+12,49992.76228,46547.79518,2.777040554,34.27448212,2.268225672,1.61741439,32.32540373,53.15153565,0,66.59988585,5.84,37065084,1.412455869,0,81.84390244,0,0,0,13.05768467,112.3227859,1937900000000.00,0.931090683,2.469356805,3.637649705
Canada,CAN,2019 [YR2019],1.74373E+12,49832.40538,46374.15275,1.888223585,33.81878946,1.949269024,1.566211232,32.35269582,53.36232469,0,66.17148528,5.69,37601230,1.436136823,0,82.22878049,0,0,0,12.7416889,138.1581549,2409100000000.00,0.930602334,2.80676687,4.353193532
Canada,CAN,2020 [YR2020],1.6476E+12,47226.36514,43349.67786,-5.074357568,31.9210782,0.716999632,0.615457491,29.68084533,74.91995451,0,61.60192354,9.66,38007166,1.073795827,0,81.6704878,0,0,0,13.56960575,160.321512,2641450000000.00,0.917912647,1.844172162,2.80419311
Canada,CAN,2021 [YR2021],2.00149E+12,53023.42056,52358.62164,5.011800875,30.95542828,3.395193185,8.153339243,30.91398771,64.04010491,0,61.86941598,7.53,38226498,0.575421916,0,82.59660976,0,0,0,13.25942833,0,0.00,0.987462165,3.233946897,4.800235105
Canada,CAN,2022 [YR2022],2.13984E+12,58399.54548,54966.48884,3.396202279,33.5439527,6.802801153,7.332574831,33.71848743,0,0,67.26244013,5.28,38929902,1.823370422,0,0,0,0,0,0,0,0.00,0.941214326,2.509778347,3.884069418
China,CHN,1998 [YR1998],1.02906E+12,2448.482291,828.5946577,7.845951788,14.08220459,-0.773186012,-0.900251629,18.34210003,0,105.9831198,32.42430463,3.1,1241935000,0.959550406,0,71.172,0,0,0,0,0,0.00,0.338411538,4.435501203,0.439915738
China,CHN,1999 [YR1999],1.09401E+12,2650.178686,873.297611,7.661651501,15.361685,-1.401472683,-1.263058939,18.16247676,0,108.4585432,33.52416176,3.1,1252735000,0.865851393,0,71.419,0,0,0,0,0,0.00,0.329524049,3.748958593,0.368917854
China,CHN,2000 [YR2000],1.21133E+12,2917.24253,959.3604121,8.490093406,18.51731765,0.347811227,2.062792614,20.8936972,0,117.721047,39.41101485,3.1,1262645000,0.787956593,49.8,71.881,86.5266037,95.13524628,90.92021179,0,0,0.00,0.32885864,3.475125973,0.380738016
China,CHN,2001 [YR2001],1.3394E+12,3208.229957,1053.112272,8.335733478,18.21521353,0.719125609,2.047049457,20.31214574,0,119.3913938,38.52735928,3.6,1271850000,0.726380638,0,72.606,0,0,0,0,0,0.00,0.328253363,3.51298868,0.723905771
China,CHN,2002 [YR2002],1.47056E+12,3532.081651,1148.514188,9.13363079,20.10265796,-0.731970902,0.602099078,22.64474567,0,160.5360997,42.74740363,4,1280400000,0.669999568,0,72.985,0,0,0,0,0,0.00,0.325166375,3.609081353,0.427324293
China,CHN,2003 [YR2003],1.66028E+12,3938.730274,1288.637543,10.03803048,24.82323147,1.127603487,2.603177719,26.98075653,0,200.8873439,51.803988,4.3,1288400000,0.622860936,0,73.371,0,0,0,0,30.89711261,512979000000.00,0.327170802,3.487418759,0.509316538
China,CHN,2004 [YR2004],1.95535E+12,4427.131003,1508.667946,10.11362138,28.44418664,3.824637431,6.95199268,31.06133758,0,251.8396412,59.50552422,4.2,1296075000,0.593932815,0,73.748,0,0,0,0,22.89723021,447720000000.00,0.340777796,3.483641464,0.407733384
China,CHN,2005 [YR2005],2.28596E+12,5056.404724,1753.414263,11.39459181,28.3780353,1.776414077,3.903744269,33.82985757,0,290.8480507,62.20789287,4.2,1303720000,0.58812499,30.2,74.111,0,0,0,8.569243858,17.57913662,401852000000.00,0.346770949,4.554263297,0.600603634
China,CHN,2006 [YR2006],2.75212E+12,5842.778636,2099.219342,12.72095567,28.44385835,1.649430995,3.926549397,36.03502555,0,331.0940728,64.4788839,4.1,1311020000,0.558374367,0,74.504,0,0,0,9.057253983,41.62084054,1145450000000.00,0.359284422,4.508600691,0.869591847
China,CHN,2007 [YR2007],3.55033E+12,6818.923409,2693.958555,14.23086093,26.75856495,4.816767674,7.749686493,35.43479853,0,409.3628405,62.19336348,4,1317885000,0.522271866,0,74.762,0,0,0,9.771406065,126.1536138,4478870000000.00,0.395070951,4.400983631,0.483189209
China,CHN,2008 [YR2008],4.59434E+12,7581.453513,3468.327063,9.65067892,25.01000133,5.92525137,7.795346037,32.60271402,0,508.7784465,57.61271534,4.2,1324655000,0.512386932,0,74.872,0,0,0,10.10142653,38.71688392,1778780000000.00,0.457475213,3.733610711,1.235048262
China,CHN,2009 [YR2009],5.10169E+12,8305.760185,3832.227428,9.398725632,20.43501444,-0.728165251,-0.209533361,24.74985594,0,539.6969718,45.18487038,4.3,1331260000,0.497381401,0,75.343,0,0,0,10.30944174,70.03858917,3573150000000.00,0.461393941,2.568894327,0.860302687
China,CHN,2010 [YR2010],6.08719E+12,9254.779603,4550.473924,10.63587106,23.53174494,3.175324753,6.881380253,27.18533272,0,392.2936172,50.71707766,4.1,1337705000,0.482959689,17.2,75.599,92.71122742,97.47946167,95.1244812,10.21204861,66.16910531,4027840000000.00,0.491689064,4.003544586,0.952058059
China,CHN,2011 [YR2011],7.55155E+12,10292.94048,5614.385739,9.550832179,24.17271524,5.553898923,8.075684467,26.56818935,0,308.7312199,50.74090459,4.1,1345035000,0.546457595,12.7,75.903,0,0,0,10.31279489,45.18423905,3412110000000.00,0.545459847,3.708806704,0.641201754
China,CHN,2012 [YR2012],8.53219E+12,11168.6973,6300.582352,7.863736449,22.77500014,2.619524326,2.331217576,25.49252222,0,295.0372843,48.26752237,4.1,1354190000,0.678345459,10.2,76.192,0,0,0,10.25676868,43.33445387,3697380000000.00,0.56412867,2.827105258,0.761392092
China,CHN,2013 [YR2013],9.57047E+12,11872.49738,7020.385682,7.766150098,22.14512114,2.621050017,2.163370027,24.59925444,0,262.1026302,46.74437558,4.05,1363240000,0.666072978,8.5,76.452,0,0,0,9.907732583,41.26383816,3949140000000.00,0.591314991,3.039855032,0.762458639
China,CHN,2014 [YR2014],10475600000000.00,12480.33853,7636.074223,7.425763656,21.39515505,1.921641628,1.031063688,23.51006091,0,219.3028525,44.90521595,4.1,1371860000,0.63032639,7.2,76.717,0,0,0,9.678618827,57.32305036,6004950000000.00,0.611848325,2.55924765,1.175391033
China,CHN,2015 [YR2015],11061600000000.00,12897.50229,8016.446016,7.041328879,18.11008945,1.437023809,-0.002944094,21.35407988,0,255.3105822,39.46416934,0,1379860000,0.581456147,5.7,76.977,0,0,0,9.376920447,74.02219533,8188020000000.00,0.621550269,2.192177616,1.576545024
China,CHN,2016 [YR2016],11233300000000.00,13483.37727,8094.390375,6.848762205,17.31003496,2.000001822,1.407346027,19.58438005,0,219.0854421,36.89441502,0,1387790000,0.573050906,4.5,77.218,0,0,0,9.122915561,65.16988992,7320740000000.00,0.600323659,1.555636959,1.92663056
China,CHN,2017 [YR2017],12310500000000.00,14243.53261,8817.045496,6.947200793,17.94013625,1.593136001,4.232681975,19.69227699,0,189.8212698,37.63241324,3.9,1396215000,0.605245013,3.1,77.248,0,0,0,9.419317653,70.76295409,8711270000000.00,0.619020979,1.349123714,1.123373274
China,CHN,2018 [YR2018],13894900000000.00,15497.82574,9905.406118,6.749773832,18.45368057,2.0747904,3.499747636,19.11210354,0,161.5149347,37.5657841,4.93,1402760000,0.467672053,1.7,77.744,95.15933228,98.46653748,96.84088898,9.052685732,45.51940894,6324880000000.00,0.639148116,1.69389433,1.029345297
China,CHN,2019 [YR2019],14280000000000.00,16655.39936,10143.86021,5.950500754,17.48010372,2.899234164,1.286700408,18.40999232,0,152.4431237,35.89009603,5.15,1407745000,0.35474089,0.6,77.968,0,0,0,8.49286377,59.63251522,8515500000000.00,0.609043349,1.310715934,0.958755617
China,CHN,2020 [YR2020],14687700000000.00,17209.44295,10408.71912,2.238638356,16.16815654,2.419421895,0.492493697,18.58613924,0,144.2887714,34.75429578,5.61,1411100000,0.23804087,0,78.077,95.61000061,98.62999725,97.15000153,8.090626234,83.16093995,12214500000000.00,0.604826034,1.72317562,1.046592404
China,CHN,2021 [YR2021],17820500000000.00,19484.30809,12617.50499,8.447478293,17.35801671,0.981015136,4.55328428,19.94397346,0,126.8427536,37.30199017,5.11,1412360000,0.0892522,0,78.211,0,0,0,0,0,0.00,0.647572648,1.930786241,1.003328458
China,CHN,2022 [YR2022],17963200000000.00,21475.61053,12720.21564,2.990804598,17.46681693,1.973575557,2.247260684,20.67700251,0,0,38.14381943,0,1412175000,-0.013099501,0,0,0,0,0,0,0,0.00,0.59230985,1.002979297,0.833329091
France,FRA,1998 [YR1998],1.50311E+12,23357.45829,24971.57449,3.588659425,23.38027481,0.651126868,0.950262691,26.12649198,62.36396883,0,49.50676679,12.07,60192790,0.370907432,0,78.60487805,0,0,0,23.02691923,10.05587194,151151000000.00,1.069104959,1.963825255,3.04044433
France,FRA,1999 [YR1999],1.49315E+12,24304.40453,24678.39106,3.421373799,23.68438521,0.537141639,0.203811155,26.07653539,59.1702064,0,49.7609206,11.98,60504420,0.516384252,0,78.75609756,0,0,0,23.63199403,100.6563333,1502950000000.00,1.015387603,3.07880407,8.400110652
France,FRA,2000 [YR2000],1.36564E+12,26091.84974,22416.42542,3.923669227,27.26627147,1.675959887,1.553290253,28.59497425,58.29925233,0,55.86124572,10.22,60921384,0.686782587,0,79.05609756,0,0,0,23.39182394,105.9308807,1446630000000.00,0.859135157,3.030746972,12.71171207
France,FRA,2001 [YR2001],1.37766E+12,27490.86726,22449.33969,1.983721419,26.69347289,1.634780795,2.008334185,28.2658952,57.81887921,0,54.95936809,8.61,61367388,0.72943079,0,79.15853659,0,0,0,23.37446366,85.26525185,1174660000000.00,0.816610821,3.639660784,6.342139085
